Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,AFNR,"Agriculture, Food, And Natural Resources",,2023-08-03T20:09:09+00:00
Grade Level,1.1,AFNR.e,Grades PK-5,PK-5,2023-08-07T21:49:59+00:00
Content Area,1.1.1,AFNR.e.ABS,Agriculture Business Standards,,2023-08-03T20:20:52+00:00
Standard,1.1.1.1,AFNR.e.ABS.1,Students will use economic principles to establish and manage an AFNR enterprise.,,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.1.1,AFNR.e.ABS.1.a,Apply principles of capitalism in the business environment.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.1.1.1,AFNR.e.ABS.1.a.1,Recognize the use of money as a medium for exchange in a capitalistic system.,,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.1.2,AFNR.e.ABS.1.b,Apply principles of entrepreneurship in businesses.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.1.2.1,AFNR.e.ABS.1.b.1,"Describe the meaning, importance and economic impact of entrepreneurship.",,2023-08-03T20:20:52+00:00
Standard,1.1.1.2,AFNR.e.ABS.2,Students will use appropriate management planning principles in AFNR business enterprise.,,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.2.1,AFNR.e.ABS.2.a,Compose and analyze a business plan for an enterprise.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.2.1.1,AFNR.e.ABS.2.a.1,Recognize the importance of setting goals for success of a business.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.2.1.2,AFNR.e.ABS.2.a.2,Connect DATCP to consumer safety standards.,,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.2.2,AFNR.e.ABS.2.b,"Read, interpret, evaluate and write a mission statement to guide business goals, objectives and resource allocation.",,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.2.2.1,AFNR.e.ABS.2.b.1,Recognize goals or purposes of a club.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.2.2.2,AFNR.e.ABS.2.b.2,"Make the connection between goals, means and outcomes.",,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.2.3,AFNR.e.ABS.2.c,Apply appropriate management skills to organize a business.,,2023-08-03T20:20:52+00:00
Performance Indicator,1.1.1.2.3.1,AFNR.e.ABS.2.c.1,Recognize the roles in a business owners and employees.,,2023-08-03T20:20:52+00:00
Learning Priority,1.1.1.2.4,AFNR.e.ABS.2.d,"Recruit, train and retain appropriate and productive human resources for businesses.",,2023-08-03T20:20:52+00:00
