Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,A,Art and Design,,2023-08-18T21:47:20+00:00
Grade Level,1.1,A.e,Grades K-2,K-2,2023-08-18T22:20:22+00:00
Standard,1.1.1,A.e.1,"Students will generate, develop, and refine artistic work.",,2023-08-18T21:47:20+00:00
Artistic Process,1.1.1.1,A.e.1.Cr,Create,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.1.1.1,A.e.1.Cr.1,"Explore studio skills, techniques, materials, tools, and elements and principles of art and design.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.1.1.2,A.e.1.Cr.2,Describe process and choices while creating art.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.1.1.3,A.e.1.Cr.3,"Create works of art that introduce students to media, care of tools, and basic craftsmanship skills.",,2023-08-18T21:47:20+00:00
Standard,1.1.2,A.e.2,"Students will develop, refine, and convey meaning through the production and presentation of artistic work.",,2023-08-18T21:47:20+00:00
Artistic Process,1.1.2.1,A.e.2.Pr,Present,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.2.1.1,A.e.2.Pr.1,"Explore and develop meaning by viewing personal, historical, and contemporary art.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.2.1.2,A.e.2.Pr.2,Explain artwork through verbal and/or written descriptions using art and design vocabulary.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.2.1.3,A.e.2.Pr.3,Share artwork through a presentation or exhibit.,,2023-08-18T21:47:20+00:00
Standard,1.1.3,A.e.3,Students will critically interpret intent and meaning in order to evaluate artistic work.,,2023-08-18T21:47:20+00:00
Artistic Process,1.1.3.1,A.e.3.R,Respond,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.3.1.1,A.e.3.R.1,"Identify details, basic elements, and subject matter of an artwork.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.3.1.2,A.e.3.R.2,Distinguish between reality and imaginary when describing a work of art.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.3.1.3,A.e.3.R.3,Use details and subject matter to interpret an artwork’s mood or meaning.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.3.1.4,A.e.3.R.4,Determine the artist’s intent by identifying the details and subject matter.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.3.1.5,A.e.3.R.5,Use learned art and design vocabulary to express individual opinion of a work.,,2023-08-18T21:47:20+00:00
Standard,1.1.4,A.e.4,Students will relate their artistic work with prior experience and external context.,,2023-08-18T21:47:20+00:00
Artistic Process,1.1.4.1,A.e.4.Cn,Connect,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.4.1.1,A.e.4.Cn.1,"Recognize and demonstrate relationships between art and design, and other disciplines.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.4.1.2,A.e.4.Cn.2,Recognize art and design careers.,,2023-08-18T21:47:20+00:00
Performance Indicator,1.1.4.1.3,A.e.4.Cn.3,Understand that people from different times and places have made art and design for a variety of reasons.,,2023-08-18T21:47:20+00:00
Grade Level,1.2,A.i,Grades 3-5,3-5,2023-08-18T22:19:58+00:00
Standard,1.2.1,A.i.1,"Students will generate, develop, and refine artistic work.",,2023-08-18T21:47:20+00:00
Artistic Process,1.2.1.1,A.i.1.Cr,Create,,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.1.1.1,A.i.1.Cr.4,"Experiment with studio skills, techniques, materials, tools and elements and principles of art and design through practice.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.1.1.2,A.i.1.Cr.5,"Brainstorm, discuss, and sketch ideas to solve an art problem.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.1.1.3,A.i.1.Cr.6,"Utilize more complex media to express an idea and expand knowledge of tools and techniques, with attention to craftsmanship.",,2023-08-18T21:47:20+00:00
Standard,1.2.2,A.i.2,"Students will develop, refine, and convey meaning through the production and presentation of artistic work.",,2023-08-18T21:47:20+00:00
Artistic Process,1.2.2.1,A.i.2.Pr,Present,,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.2.1.1,A.i.2.Pr.4,"Explore and make connections through comparison of artwork from personal, historical, and contemporary artists.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.2.1.2,A.i.2.Pr.5,"Using art and design vocabulary, communicate ideas and artistic process through verbal and written descriptions.",,2023-08-18T21:47:20+00:00
Performance Indicator,1.2.2.1.3,A.i.2.Pr.6,"Create, share, and exhibit pieces from an ongoing artistic portfolio.",,2023-08-18T21:47:20+00:00
