Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,CS,Computer Science,,2023-08-04T21:19:40+00:00
Grade Level,1.1,CS.e,K-2,K-2,2023-08-09T14:57:51+00:00
Content Area,1.1.1,CS.e.AP,Algorithms and Programming,,2023-08-08T17:17:21+00:00
Standard,1.1.1.1,CS.e.AP.1,Students will recognize and define computational problems using algorithms and programming.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.1.1,CS.e.AP.1.a,Develop algorithms,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.1.1.1,CS.e.AP.1.a.1,"Construct and execute algorithms (sets of step-by-step instructions), which include sequencing, and simple loops to accomplish a task, both independently and collaboratively, with or without a computing device.",,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.1.1.2,CS.e.AP.1.a.2,"Decompose (break down) a larger computational problem into smaller sub-problems independently or with teacher guidance. (e.g., to draw a snowman, we can draw several different, simpler shapes).",,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.1.1.3,CS.e.AP.1.a.3,"Categorize a group of items based on the attributes or actions of each item, with or without a computing device.",,2023-08-08T17:17:21+00:00
Standard,1.1.1.2,CS.e.AP.2,Students will create computational artifacts using algorithms and programming.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.2.1,CS.e.AP.2.a,Develop and implement an artifact,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.2.1.1,CS.e.AP.2.a.1,"Construct programs to accomplish a task or as a means of creative expression, which include sequencing, events and simple loops, using a block-based visual programming language, both independently and collaboratively (e.g., pair programming).",,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.2.1.2,CS.e.AP.2.a.2,"Plan and create a design document to illustrate thoughts, ideas, and stories in a sequential (step-by-step) manner (e.g., story map, storyboard, sequential graphic organizer).",,2023-08-08T17:17:21+00:00
Standard,1.1.1.3,CS.e.AP.3,Students will communicate about computing ideas.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.3.1,CS.e.AP.3.a,Recognize and cite sources,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.3.1.1,CS.e.AP.3.a.1,"Give credit to the source when using code, music, or pictures that were created by others.",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.3.2,CS.e.AP.3.b,Communicate about technical and social issues,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.3.2.1,CS.e.AP.3.b.1,"Follow simple instructions to complete a task, such as a simple visual tutorial.",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.3.3,CS.e.AP.3.c,Document code,,2023-08-08T17:17:21+00:00
Standard,1.1.1.4,CS.e.AP.4,Students will develop and use abstractions.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.4.1,CS.e.AP.4.a,Create and use abstractions (representations) to solve complex computational problems,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.4.1.1,CS.e.AP.4.a.1,"Use numbers or other symbols to represent data (e.g., thumbs up/down for yes/no, color by number, arrows for direction, encoding/decoding a word using numbers or pictographs).",,2023-08-08T17:17:21+00:00
Standard,1.1.1.5,CS.e.AP.5,Students will collaborate with diverse teams.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.5.1,CS.e.AP.5.a,Work together to solve computational problems using a variety of resources,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.5.1.1,CS.e.AP.5.a.1,Work together with a team to create a solution to a computational problem.,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.5.1.2,CS.e.AP.5.a.2,"Use teachers, parents, and other resources to solve a computational problem.",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.5.2,CS.e.AP.5.b,Fostering an inclusive computing culture,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.5.2.1,CS.e.AP.5.b.1,"Understand the value for teams of including members with different perspectives, experiences, and backgrounds, including race, gender, ethnicity, language, disability, family background, and family income.",,2023-08-08T17:17:21+00:00
Standard,1.1.1.6,CS.e.AP.6,Students will test and refine computational solutions.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.6.1,CS.e.AP.6.a,Test and debug computational solutions,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.1.6.1.1,CS.e.AP.6.a.1,"Analyze and debug (fix) an algorithm, which includes sequencing and simple loops, with or without a computing device.",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.1.6.2,CS.e.AP.6.b,Develop and apply success criteria,,2023-08-08T17:17:21+00:00
Content Area,1.1.2,CS.e.CS,Computing Systems,,2023-08-08T17:17:21+00:00
Standard,1.1.2.1,CS.e.CS.1,Students will communicate about computing systems.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.2.1.1,CS.e.CS.1.a,Identification of hardware and software components,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.2.1.1.1,CS.e.CS.1.a.1,"Identify and use software that controls computational devices to accomplish a task (e.g., use an app to draw on the screen, use software to write a story or control robots).",,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.2.1.1.2,CS.e.CS.1.a.2,"Use appropriate terminology in naming and describing the function of common computing devices and components (e.g., desktop computer, laptop computer, tablet device, monitor, keyboard, mouse, printer).",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.2.1.2,CS.e.CS.1.b,Understand how the components of a computer system work together,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.2.1.2.1,CS.e.CS.1.b.1,"Identify the components of a computer system and what the basic functions are (e.g., hard drive, and memory) as well as external features and their uses (e.g., printers, scanners, external hard drives, and cloud storage).",,2023-08-08T17:17:21+00:00
Standard,1.1.2.2,CS.e.CS2,Students will test and refine computing systems.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.2.2.1,CS.e.CS.2.a,Problem solve and debug,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.2.2.1.1,CS.e.CS.2.a.1,"Identify, using accurate terminology, simple hardware and software problems that may occur during use (e.g., app or program not working as expected, no sound, device won't turn on).",,2023-08-08T17:17:21+00:00
Standard,1.1.2.3,CS.e.CS3,Students will develop and use abstractions in computing systems.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.2.3.1,CS.e.CS.3.a,Generalize in computer systems,,2023-08-08T17:17:21+00:00
Standard,1.1.2.4,CS.e.CS4,Students will create and modify computing systems.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.2.4.1,CS.e.CS.4.a,Modify and create computational artifacts,,2023-08-08T17:17:21+00:00
Content Area,1.1.3,CS.e.DA,Data and Analysis,,2023-08-08T17:17:21+00:00
Standard,1.1.3.1,CS.e.DA.1,Students will create computational artifacts using data and analysis.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.3.1.1,CS.e.DA.1.a,Represent and manipulate data,,2023-08-08T17:17:21+00:00
Standard,1.1.3.2,CS.e.DA.2,Students will recognize and define data in computational problems.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.3.2.1,CS.e.DA.2.a,Gather data to support computational problem solving,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.3.2.1.1,CS.e.DA.2.a.1,"Collect simple quantitative data over time (e.g., daily temperatures or sunrise time).",,2023-08-08T17:17:21+00:00
Learning Priority,1.1.3.2.2,CS.e.DA.2.b,Categorize and analyze data,,2023-08-08T17:17:21+00:00
Performance Indicator,1.1.3.2.2.1,CS.e.DA.2.b.1,"Sort objects into buckets, recognizing relevant and/or irrelevant data (e.g., one of these things is not like the other).",,2023-08-08T17:17:21+00:00
Standard,1.1.3.3,CS.e.DA.3,Students will communicate about data in computing.,,2023-08-08T17:17:21+00:00
Learning Priority,1.1.3.3.1,CS.e.DA.3.a,Communicate about data,,2023-08-08T17:17:21+00:00
