Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,D,Dance,,2023-11-21T22:45:28+00:00
Grade Level,1.1,D.e,Grades K-2,K-2,2023-11-22T15:11:52+00:00
Content Area,1.1.1,D.e.D,Dance,,2023-11-21T22:45:28+00:00
Standard,1.1.1.1,D.e.D.1,"Students will generate, develop, and refine artistic work.",,2023-11-21T22:45:28+00:00
Artistic Process,1.1.1.1.1,D.e.D.1.Cr,Create,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.1.1.1,D.e.D.1.Cr.1,Improvisation: Explore movement inspired by a variety of stimuli.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.1.1.2,D.e.D.1.Cr.2,Dance Making: Explore shapes and movements using parts of the body.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.1.1.3,D.e.D.1.Cr.3,Collaboration: Share ideas with a partner to explore movement inspired by a variety of stimuli.,,2023-11-21T22:45:28+00:00
Standard,1.1.1.2,D.e.D.2,"Students will analyze, develop, and convey meaning through the presentation of artistic work.",,2023-11-21T22:45:28+00:00
Artistic Process,1.1.1.2.1,D.e.D.2.P,Perform,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.2.1.1,D.e.D.2.P.1,Skill Development: Demonstrate developing body awareness and alignment for locomotor and non-locomotor movement.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.2.1.2,D.e.D.2.P.2,Artistic Expression: Explore use of whole or isolated body movement with changes in feelings or elements of dance.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.2.1.3,D.e.D.2.P.3,Rehearsal Process: Develop developmentally appropriate rehearsal skills in a practice and performance.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.2.1.4,D.e.D.2.P.4,"Performance Experience: Explore developmentally appropriate interactions with choreography, expression and production elements.",,2023-11-21T22:45:28+00:00
Standard,1.1.1.3,D.e.D.3,Students will critically interpret intent and meaning in order to evaluate artistic work.,,2023-11-21T22:45:28+00:00
Artistic Process,1.1.1.3.1,D.e.D.3.R,Respond,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.3.1.1,D.e.D.3.R.1,Dance Literacy: Demonstrate an understanding of movement words.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.3.1.2,D.e.D.3.R.2,Reflection: Describe how movement evokes feelings and ideas.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.3.1.3,D.e.D.3.R.3,Analysis: Identify specific components of the performance.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.3.1.4,D.e.D.3.R.4,View Performance: Demonstrate developmentally appropriate etiquette skills with guidance in response to a performance.,,2023-11-21T22:45:28+00:00
Standard,1.1.1.4,D.e.D.4,Students will relate prior knowledge and personal experience with dance to cultural and historical context.,,2023-11-21T22:45:28+00:00
Artistic Process,1.1.1.4.1,D.e.D.4.Cn,Connect,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.4.1.1,D.e.D.4.Cn.1,"Cultural Social Awareness: Explore how dance relates to self, others, and the world.",,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.4.1.2,D.e.D.4.Cn.2,Career Connections: Identify and describe multiple dance professions.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.4.1.3,D.e.D.4.Cn.3,Cross Disciplinary: Identify how dance connects to other content areas.,,2023-11-21T22:45:28+00:00
Performance Indicator,1.1.1.4.1.4,D.e.D.4.Cn.4,Life Skills: Identify how dance can make your mind and body feel good.,,2023-11-21T22:45:29+00:00
Grade Level,1.2,D.i,Grades 3-5,3-5,2023-11-22T15:12:24+00:00
Content Area,1.2.1,D.i.D,Dance,,2023-11-21T22:45:29+00:00
Standard,1.2.1.1,D.i.D.1,"Students will generate, develop, and refine artistic work.",,2023-11-21T22:45:29+00:00
Artistic Process,1.2.1.1.1,D.i.D.1.Cr,Create,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.1.1.1,D.i.D.1.Cr.4,Improvisation: Invent movement inspired by a variety of stimuli.,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.1.1.2,D.i.D.1.Cr.5,"Dance Making: Assemble movements to explore the elements of dance (space, time, and dynamics).",,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.1.1.3,D.i.D.1.Cr.6,Collaboration: Cooperate with small peer groups using movement inspired by a variety of stimuli.,,2023-11-21T22:45:29+00:00
Standard,1.2.1.2,D.i.D.2,"Students will analyze, develop, and convey meaning through the presentation of artistic work.",,2023-11-21T22:45:29+00:00
Artistic Process,1.2.1.2.1,D.i.D.2.P,Perform,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.2.1.1,D.i.D.2.P.5,"Skill Development: Demonstrate general body awareness, alignment, and kinetic awareness using more complex locomotor and non-locomotor movement.",,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.2.1.2,D.i.D.2.P.6,Artistic Expression: Express ideas and feelings through the elements of dance.,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.2.1.3,D.i.D.2.P.7,Rehearsal Process: Exercise developmentally appropriate rehearsal skills in a practice and performance while applying guided feedback.,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.2.1.4,D.i.D.2.P.8,"Performance Experience: Execute developmentally appropriate interactions with choreography, expression and production elements.",,2023-11-21T22:45:29+00:00
Standard,1.2.1.3,D.i.D.3,Students will critically interpret intent and meaning in order to evaluate artistic work.,,2023-11-21T22:45:29+00:00
Artistic Process,1.2.1.3.1,D.i.D.3.R,Respond,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.3.1.1,D.i.D.3.R.5,"Dance Literacy: Identify dance specific vocabulary through verbal, physical, written, and/or digital means.",,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.3.1.2,D.i.D.3.R.6,Reflection: Explain how movement communicates feelings and ideas through examples.,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.3.1.3,D.i.D.3.R.7,Analysis: Describe the various components and movement characteristics of the performance.,,2023-11-21T22:45:29+00:00
Performance Indicator,1.2.1.3.1.4,D.i.D.3.R.8,View Performance: Demonstrate developmentally appropriate etiquette skills with guidance in response to a performance.,,2023-11-21T22:45:29+00:00
Standard,1.2.1.4,D.i.D.4,Students will relate prior knowledge and personal experience with dance to cultural and historical context.,,2023-11-21T22:45:29+00:00
