Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,ELA.K,Kindergarten,K,2023-07-06T16:43:49+00:00
Strand,1.1,ELA.K.RF,Reading Foundational Skills,,2023-07-06T19:21:34+00:00
Conceptual Category,1.1.1,ELA.K.RF,Print Concepts,,2023-07-06T19:58:09+00:00
Standard,1.1.1.1,ELA.K.RF.1,Demonstrate understanding of the organization and basic features of print.<br>,,2023-07-06T19:21:34+00:00
Standard,1.1.1.1.1,ELA.K.RF.1.a,"Follow words from left to right, top to bottom, and page by page.",,2023-07-06T19:21:34+00:00
Standard,1.1.1.1.2,ELA.K.RF.1.b,Recognize spoken words are represented in written language by specific sequences of letters.,,2023-07-06T19:21:34+00:00
Standard,1.1.1.1.3,ELA.K.RF.1.c,Understand words are separated by spaces in print.,,2023-07-06T19:21:34+00:00
Standard,1.1.1.1.4,ELA.K.RF.1.d,Recognize and name all upper- and lowercase letters of the alphabet.,,2023-07-06T19:21:34+00:00
Conceptual Category,1.1.2,ELA.K.RF,Phonological Awareness,,2023-07-06T19:58:09+00:00
Standard,1.1.2.1,ELA.K.RF.2,"Demonstrate understanding of spoken words, syllables, and sounds (phonemes).<br>",,2023-07-06T19:21:34+00:00
Standard,1.1.2.1.1,ELA.K.RF.2.a,Recognize and produce rhyming words.,,2023-07-06T19:21:34+00:00
Standard,1.1.2.1.2,ELA.K.RF.2.b,"Count, pronounce, blend, and segment syllables in spoken words.",,2023-07-06T19:21:34+00:00
Standard,1.1.2.1.3,ELA.K.RF.2.c,Blend and segment onsets and rimes of single-syllable spoken words.,,2023-07-06T19:21:34+00:00
Standard,1.1.2.1.4,ELA.K.RF.2.d,"Isolate and pronounce the initial, medial vowel, and final sounds (phonemes) in three-phoneme (consonant-vowel-consonant, or CVC) words. (This does not include CVCs ending with /l/, /r/, or /x/.)",,2023-07-06T19:21:34+00:00
