Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,HE,Health Education,,2023-11-13T19:58:22+00:00
Education Level,1.1,HE.1,Grades PK-2,PK-2,2023-11-15T14:38:50+00:00
Standard,1.1.1,HE.1.1,Students will comprehend concepts related to health promotion and disease prevention to enhance health. ,,2023-11-13T19:58:22+00:00
Learning Priority,1.1.1.1,HE.1.1.LR,Develop age-appropriate cognitive understanding of health promotion concepts to improve health behaviors.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.1.1.1,HE.1.1.LR.A,Describe healthy behaviors.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.1.1,HE.1.1.LR.A.1,Describe ways to prevent common childhood accidents and injuries.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.1.2,HE.1.1.LR.A.2,Describe healthy behaviors that impact personal health.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.1.3,HE.1.1.LR.A.3,List ways to prevent communicable disease.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.1.1.2,HE.1.1.LR.B,Apply knowledge of healthy behaviors.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.2.1,HE.1.1.LR.B.1,Describe why it is important to seek health care.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.2.2,HE.1.1.LR.B.2,Describe why it is important to participate in healthy behaviors.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.1.1.2.3,HE.1.1.LR.B.3,"Use multiple dimensions of health (e.g., physical, social, environmental, and emotional) in everyday life.",,2023-11-13T19:58:22+00:00
Standard,1.1.2,HE.1.2,"Students will analyze the influence of family, peers, culture, media, technology, and other factors on health behaviors.",,2023-11-13T19:58:22+00:00
Learning Priority,1.1.2.1,HE.1.2.LR,Know what an influence is and how it could affect behaviors.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.2.1.1,HE.1.2.LR.A,List influences on health behaviors.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.2.1.1.1,HE.1.2.LR.A.1,Identify internal and external factors that may influence health behaviors.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.2.1.2,HE.1.2.LR.B,Analyze various influences on health behaviors.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.2.1.2.1,HE.1.2.LR.B.1,"Discuss how family, emotions, peers, and media can influence health behaviors.",,2023-11-13T19:58:22+00:00
Standard,1.1.3,HE.1.3,Students will demonstrate the ability to access valid information and products and services to enhance health.,,2023-11-13T19:58:22+00:00
Learning Priority,1.1.3.1,HE.1.3.LR,Identify individuals who provide valid health information to enhance health behaviors.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.3.1.1,HE.1.3.LR.A,Identify where to get help to promote health.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.3.1.1.1,HE.1.3.LR.A.1,Identify trusted adults and professionals who can help promote health.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.3.1.1.2,HE.1.3.LR.A.2,Describe ways to locate school and community health individuals.,,2023-11-13T19:58:22+00:00
Standard,1.1.4,HE.1.4,Students will demonstrate the ability to use interpersonal communication skills to enhance health and avoid or reduce health risks.,,2023-11-13T19:58:22+00:00
Learning Priority,1.1.4.1,HE.1.4.LR,Identify and apply effective interpersonal communication skills.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.4.1.1,HE.1.4.LR.A,Identify communication skills that can improve health and reduce health risks.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.4.1.1.1,HE.1.4.LR.A.1,Identify ways to communicate.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.4.1.1.2,HE.1.4.LR.A.2,"Identify ways to express needs, wants, and feelings.",,2023-11-13T19:58:22+00:00
Focus Area,1.1.4.1.2,HE.1.4.LR.B,Apply communication skills that can improve health and reduce health risks.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.4.1.2.1,HE.1.4.LR.B.1,"Describe ways to respond when in an unwanted, threatening, or dangerous situation.",,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.4.1.2.2,HE.1.4.LR.B.2,Use refusal skills including firmly saying no and getting away from the situation.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.4.1.2.3,HE.1.4.LR.B.3,Explain how to communicate to a trusted adult if threatened or harmed.,,2023-11-13T19:58:22+00:00
Standard,1.1.5,HE.1.5,Students will demonstrate the ability to use decision-making skills to enhance health.,,2023-11-13T19:58:22+00:00
Learning Priority,1.1.5.1,HE.1.5.LR,Identify when a decision-making process is needed to choose a healthy option.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.5.1.1,HE.1.5.LR.A,List health situations where a decision-making process could be used.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.5.1.1.1,HE.1.5.LR.A.1,Identify steps in the decision-making process.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.5.1.1.2,HE.1.5.LR.A.2,Provide an example of a situation when a health-related decision is needed to keep one safe.,,2023-11-13T19:58:22+00:00
Learning Continuum,1.1.5.1.1.3,HE.1.5.LR.A.3,Create a decision-making plan with family members or trusted adult.,,2023-11-13T19:58:22+00:00
Focus Area,1.1.5.1.2,HE.1.5.LR.B,Apply a decision-making process to various situations to enhance health.,,2023-11-13T19:58:22+00:00
