Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,M.K,Kindergarten,K,2023-07-20T21:32:07+00:00
Domain,1.1,M.K.CC,Counting and Cardinality ,,2023-02-22T21:26:15+00:00
Cluster,1.1.1,M.K.CC.A,Know number names and the count sequence.,,2023-02-22T21:26:10+00:00
Standard,1.1.1.1,M.K.CC.A.1,Count to 100 by ones and by tens.,,2023-02-22T21:26:40+00:00
Standard,1.1.1.2,M.K.CC.A.2,Count forward beginning from a given number within the known sequence (instead of having to begin at 1).,,2023-02-22T21:27:10+00:00
Standard,1.1.1.3,M.K.CC.A.3,Write numbers from 0 to 20. Represent a number of objects with a written numeral 0-20 (with 0 representing a count of no objects).,,2023-02-22T21:27:39+00:00
Cluster,1.1.2,M.K.CC.B,Tell the number of objects.,,2023-02-22T21:28:05+00:00
Standard,1.1.2.1,M.K.CC.B.4,"Understand the relationship between numbers and quantities; connect counting to cardinality.<div><br></div><div><div>a. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object (one to one correspondence).</div><div><br></div><div>b. When counting objects, say the number names in the standard order, pairing each object with one and only one number name and each number name with one and only one object (one to one correspondence).</div><div><br></div><div>c. Understand that each successive number name refers to a quantity that is one larger and the previous number is one smaller (hierarchical inclusion).</div></div>",,2023-07-20T21:55:33+00:00
Standard,1.1.2.2,M.K.CC.B.5,Quickly recognize and name the quantity of up to 5 objects briefly shown in structured or unstructured arrangements without counting (perceptual subitizing).,,2023-02-22T21:40:30+00:00
Standard,1.1.2.3,M.K.CC.B.6,"Count to answer ""how many?"" questions about as many as 20 things arranged in a line, a rectangular array, or a circle, or as many as 10 things in a scattered configuration; given a number from 1-20, count out that many objects.",,2023-02-22T21:46:28+00:00
Cluster,1.1.3,M.K.CC.C,Compare numbers.,,2023-02-22T21:47:36+00:00
Standard,1.1.3.1,M.K.CC.C.7,"Identify whether the number of objects (up to 10) in one group is greater than, less than, or equal to the number of objects in another group, e.g., by using matching and counting strategies.",,2023-02-22T21:50:03+00:00
Standard,1.1.3.2,M.K.CC.C.8,Compare two numbers between 1 and 10 presented as written numerals using student-generated ways to record the comparison.,,2023-02-22T21:50:33+00:00
Domain,1.2,M.K.OA,Operations and Algebraic Thinking ,,2023-02-22T21:51:09+00:00
Cluster,1.2.1,M.K.OA.A,"Understand addition as putting together and adding to, and understand subtraction as taking apart and taking from.",,2023-02-22T21:51:51+00:00
Standard,1.2.1.1,M.K.OA.A.1,"Represent addition and subtraction with objects, fingers, mental images, drawings, sounds (e.g., claps), acting out situations, verbal explanations, or numbers. Drawings need not show details but should show the mathematics in the problem.",,2023-02-22T21:54:16+00:00
Standard,1.2.1.2,M.K.OA.A.2,"Solve addition and subtraction word problems, and add and subtract within 10, e.g., by using objects or drawings to represent the problem.",,2023-02-22T21:55:09+00:00
Standard,1.2.1.3,M.K.OA.A.3,"Compose and decompose quantities within 10<div><br></div><div><div>a. Decompose numbers less than or equal to 10 into pairs in more than one way, e.g., by using objects or drawings, and record each decomposition with drawings or numbers.</div><div><br></div><div>b. Quickly name the quantity of objects briefly shown in structured arrangements anchored to 5 (e.g., fingers, ten frames, math rack/rekenrek) with totals up to 10 without counting by recognizing the arrangement or seeing the quantity in subgroups that are combined (conceptual subitizing).</div></div>",,2023-07-20T21:57:34+00:00
Standard,1.2.1.4,M.K.OA.A.4,"For any number from 1 to 9, find the number that makes 10 when added to the given number, e.g., by using objects or drawings, and record the answer with a drawing or numbers.",,2023-02-22T21:59:08+00:00
Standard,1.2.1.5,M.K.OA.A.5,Flexibly and efficiently add and subtract within 5 using mental images and composing or decomposing numbers up to 5.,,2023-02-22T22:00:01+00:00
