Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,M,Music,,2023-11-17T19:44:40+00:00
Grade Level,1.1,M.e,Grades K-2,K-2,2023-11-17T20:34:25+00:00
Content Area,1.1.1,M.e.MG,General Music,,2023-11-17T19:44:40+00:00
Standard,1.1.1.1,M.e.MG.1,"Students will generate, develop, and refine artistic work.",,2023-11-17T19:44:40+00:00
Artistic Process,1.1.1.1.1,M.e.MG.1.Cr,Create,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.1.1.1,M.e.MG.1.Cr.1,Discover musical ideas through simple rhythm and melodic patterns.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.1.1.2,M.e.MG.1.Cr.2,"Improvise sounds and movement to accompany artistic play and music by use of voice, instruments, and a variety of sound sources.",,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.1.1.3,M.e.MG.1.Cr.3,Explore the creation of short pieces using standard and/or alternative notation.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.1.1.4,M.e.MG.1.Cr.4,"Identify musical ideas through verbal, written, aural, or technological means.",,2023-11-17T19:44:40+00:00
Standard,1.1.1.2,M.e.MG.2,"Students will analyze, develop, and convey meaning through the presentation of artistic work.",,2023-11-17T19:44:40+00:00
Artistic Process,1.1.1.2.1,M.e.MG.2.P,Perform,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.2.1.1,M.e.MG.2.P.1,Explore and identify the meaning of a song through its text by singing and/or playing an instrument.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.2.1.2,M.e.MG.2.P.2,Discover how to express a piece of music to convey its meaning.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.2.1.3,M.e.MG.2.P.3,Examine and share the performance with class and teacher.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.2.1.4,M.e.MG.2.P.4,Identify the persons serving in the roles of performer and audience.,,2023-11-17T19:44:40+00:00
Performance Indicator,1.1.1.2.1.5,M.e.MG.2.P.5,Explore music through both reading and aural approaches.,,2023-11-17T19:44:40+00:00
