Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,N,Nutrition,,2023-08-10T21:09:15+00:00
Grade Level,1.1,N.e,K-2,K-2,2023-08-11T14:34:48+00:00
Content Area,1.1.1,N.e.NEG,Nutrition for Energy and Growth ,,2023-08-10T21:09:15+00:00
Standard,1.1.1.1,N.e.NEG.1,"Students in Wisconsin will understand concepts related to and connections between food and beverage options, eating patterns, physical activity, and healthy growth.",,2023-08-10T21:09:15+00:00
Learning Priority,1.1.1.1.1,N.e.NEG.1.a,Understand that a variety of food and beverages provide energy that help the body grow and develop. ,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.1.1.1.1,N.e.NEG.1.a.1,Recognize that food and beverages provide energy that helps the body grow.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.1.1.1.2,N.e.NEG.1.a.2,Describe the importance of trying a variety of new foods and recognize multiple exposures increase acceptability of these foods.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.1.1.2,N.e.NEG.1.b,Evaluate food and water intake on physical activity and energy levels. ,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.1.1.2.1,N.e.NEG.1.b.1,Identify feelings of thirst and the importance of drinking water during physical activity.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.1.1.3,N.e.NEG.1.c,Differentiate between body signals that indicate hunger versus feeling full/satisfied.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.1.1.3.1,N.e.NEG.1.c.1,Describe what it feels like to be hungry versus feeling full/satisfied.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.1.1.4,N.e.NEG.1.d,Apply information to select nutrient dense foods and beverages.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.1.1.4.1,N.e.NEG.1.d.1,Identify nutrient-dense food and beverages.,,2023-08-10T21:09:15+00:00
Content Area,1.1.2,N.e.FS,Food Safety and Food Systems ,,2023-08-10T21:09:15+00:00
Standard,1.1.2.1,N.e.FS.1,Students in Wisconsin will know the principles of handling foods for optimal quality and safety in various food systems.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.2.1.1,N.e.FS.1.a,Apply the procedures and principles of food handling for quality and safety of food products.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.2.1.1.1,N.e.FS.1.a.1,Demonstrate proper handwashing.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.2.1.1.2,N.e.FS.1.a.2,Recognize foods may need to be washed or cooked to safely eat.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.2.1.1.3,N.e.FS.1.a.3,Recognize that eating improperly prepared or spoiled food can cause illness.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.2.1.2,N.e.FS.1.b,Apply principles of science to food systems.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.2.1.2.1,N.e.FS.1.b.1,Recognize food comes from different sources (animal vs plant).,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.2.1.2.2,N.e.FS.1.b.2,Describe what a seed needs to grow.,,2023-08-10T21:09:15+00:00
Content Area,1.1.3,N.e.NL,Nutrition Literacy ,,2023-08-10T21:09:15+00:00
Standard,1.1.3.1,N.e.NL.1,"Students in Wisconsin will apply critical thinking skills when addressing nutrition concepts including food and beverage choices, eating patterns, and wellbeing.",,2023-08-10T21:09:15+00:00
Learning Priority,1.1.3.1.1,N.e.NL.1.a,Understand factors impacting food and beverage decisions.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.3.1.1.1,N.e.NL.1.a.1,Compare food and beverage choices at home and away from home.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.3.1.2,N.e.NL.1.b,Recognize characteristics of health and well-being over the lifespan.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.3.1.2.1,N.e.NL.1.b.1,Recognize that food and beverage choices impact overall health and well-being.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.3.1.2.2,N.e.NL.1.b.2,Recognize the current USDA food guidance system.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.3.1.3,N.e.NL.1.c,Identify advertising and marketing strategies used to influence food and beverage choices.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.3.1.3.1,N.e.NL.1.c.1,"Recognize that food and beverage packages have pictures, characters, and colors to make them appealing.",,2023-08-10T21:09:15+00:00
Learning Priority,1.1.3.1.4,N.e.NL.1.d,Understand the many sources of nutrition information and use reliable sources to make informed decisions. ,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.3.1.4.1,N.e.NL.1.d.1,Recognize that food packaging contains nutrition information.,,2023-08-10T21:09:15+00:00
Content Area,1.1.4,N.e.FNC,"Food, Nutrition, and Culture ",,2023-08-10T21:09:15+00:00
Standard,1.1.4.1,N.e.FNC.1,"Students in Wisconsin will understand that nutritional status, health, personal preference, cultural traditions, and accessibility impact food and beverage choices.",,2023-08-10T21:09:15+00:00
Learning Priority,1.1.4.1.1,N.e.FNC.1.a,Understand the role food plays in cultural traditions.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.4.1.1.1,N.e.FNC.1.a.1,Explain what is enjoyable about eating meals with family and friends.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.4.1.1.2,N.e.FNC.1.a.2,Recognize family and community influence on food and beverage choices.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.4.1.2,N.e.FNC.1.b,Recognize the factors related to food and beverage availability and accessibility.,,2023-08-10T21:09:15+00:00
Performance Indicator,1.1.4.1.2.1,N.e.FNC.1.b.1,Identify places where people obtain foods and beverages.,,2023-08-10T21:09:15+00:00
Content Area,1.1.5,N.e.NP,Nutrition for Practice and Promotion of Health Enhancing Behaviors,,2023-08-11T14:07:24+00:00
Standard,1.1.5.1,N.e.NP.1,Students in Wisconsin will demonstrate the ability to practice and promote health enhancing behaviors to prevent disease for personal and community health.,,2023-08-10T21:09:15+00:00
Learning Priority,1.1.5.1.1,N.e.NP.1.a,Evaluate the impact of eating patterns on health risks.,,2023-08-10T21:09:15+00:00
