Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Grade Level,1,SCI.K,Grade K,K,2023-06-22T18:02:57+00:00
Content Area,1.1,SCI.K.CC,Crosscutting Concepts,,2023-06-22T18:10:08+00:00
Standard,1.1.1,SCI.K.CC.1,"Students use science and engineering practices, disciplinary core ideas, and patterns to make sense of phenomena and solve problems.",,2023-06-22T19:55:46+00:00
Learning Priority,1.1.1.1,SCI.K.CC.1.A,Patterns,,2023-06-23T01:23:48+00:00
Default,1.1.1.1.1,,"Students recognize that patterns in the natural and human designed world can be observed, used to describe phenomena, and used as evidence.",,2023-06-23T01:25:08+00:00
Standard,1.1.2,SCI.K.CC.2,"Students use science and engineering practices, disciplinary core ideas, and cause and effect relationships to make sense of phenomena and solve problems.",,2023-06-22T19:56:19+00:00
Learning Priority,1.1.2.1,SCI.K.CC.2.A,Cause and Effect,,2023-06-23T01:27:55+00:00
Default,1.1.2.1.1,,Students learn that events have causes that generate observable patterns. They design simple tests to gather evidence to support or refute their own ideas about causes.,,2023-06-23T01:29:17+00:00
Standard,1.1.3,SCI.K.CC.3,"Students use science and engineering practices, disciplinary core ideas, and an understanding of scale, proportion and quantity to make sense of phenomena and solve problems.",,2023-06-22T19:56:48+00:00
Learning Priority,1.1.3.1,SCI.K.CC.3.A,"Scale, Proportion, and Quantity",,2023-06-23T01:30:51+00:00
Default,1.1.3.1.1,,"Students use relative scales (e.g., bigger and smaller; hotter and colder; faster and slower) to describe objects. They use standard units to measure length.",,2023-06-23T01:32:01+00:00
Standard,1.1.4,SCI.K.CC.4,"Students use science and engineering practices, disciplinary core ideas, and an understanding of systems and models to make sense of phenomena and solve problems.",,2023-06-22T19:57:16+00:00
Learning Priority,1.1.4.1,SCI.K.CC.4.A,Systems and System Models,,2023-06-23T02:04:05+00:00
Default,1.1.4.1.1,,Students understand objects and organisms can be described in terms of their parts and that systems in the natural and designed world have parts that work together.,,2023-06-23T02:05:17+00:00
Standard,1.1.5,SCI.K.CC.5,"Students use science and engineering practices, disciplinary core ideas, and an understanding of energy and matter to make sense of phenomena and solve problems.",,2023-06-22T19:57:57+00:00
Learning Priority,1.1.5.1,SCI.K.CC.5.A,Energy and Matter,,2023-06-23T02:06:59+00:00
Default,1.1.5.1.1,,"Students observe objects may break into smaller pieces, be put together into larger pieces, or change shapes.",,2023-06-23T02:08:04+00:00
Standard,1.1.6,SCI.K.CC.6,"Students use science and engineering practices, disciplinary core ideas, and an understanding of structure and function to make sense of phenomena and solve problems.",,2023-06-22T19:58:55+00:00
Learning Priority,1.1.6.1,SCI.K.CC.6.A,Structure and Function,,2023-06-23T02:11:52+00:00
Default,1.1.6.1.1,,Students observe the shape and stability of structures of natural and designed objects are related to their function(s).,,2023-06-23T02:12:56+00:00
Standard,1.1.7,SCI.K.CC.7,"Students use science and engineering practices, disciplinary core ideas, and an understanding of stability and change to make sense of phenomena and solve problems.",,2023-06-22T19:59:36+00:00
Learning Priority,1.1.7.1,SCI.K.CC.7.A,Stability and Change,,2023-06-23T02:14:29+00:00
Default,1.1.7.1.1,,"Students observe some things stay the same while other things change, and things may change slowly or rapidly.",,2023-06-23T02:15:39+00:00
Content Area,1.2,SCI.K.SEP,Science and Engineering Practices,,2023-06-22T18:11:04+00:00
Standard,1.2.1,SCI.K.SEP.1,"Students ask questions and define problems, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:15:21+00:00
Learning Priority,1.2.1.1,SCI.K.SEP.1.A,Asking Questions,,2023-06-23T02:19:03+00:00
Default,1.2.1.1.1,,<div>Students ask simple descriptive questions that can be tested. This includes the following:</div><div><br></div><div>Ask questions based on observations to find more information about the natural world.</div><div><br></div><div>Ask or identify questions that can be answered by an investigation.</div>,,2023-06-23T02:20:27+00:00
Learning Priority,1.2.1.2,SCI.K.SEP.1.B,Defining Problems,,2023-06-23T02:21:46+00:00
Default,1.2.1.2.1,,Students define simple problems that can be solved through the development of a new or improved object or tool.,,2023-06-23T02:22:51+00:00
Standard,1.2.2,SCI.K.SEP.2,"Students develop and use models, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:15:49+00:00
Learning Priority,1.2.2.1,SCI.K.SEP.2.A,Developing and Using Models,,2023-06-23T02:27:44+00:00
Default,1.2.2.1.1,,"<div>Students use and develop models (i.e., diagrams, drawings, physical replicas, dioramas, dramatizations, or storyboards) that represent concrete events or design solutions. This includes the following:</div><div><br></div><div>Distinguish between a model and the actual object, process, or events the model represents.</div><div><br></div><div>Compare models to identify common features and differences.</div><div><br></div><div>Develop or use models to represent amounts, relationships, relative scales (bigger, smaller), and patterns in the natural and designed world(s).</div><div><br></div><div>Develop a simple model based on evidence to represent a proposed object or tool.</div>",,2023-06-23T02:29:15+00:00
Standard,1.2.3,SCI.K.SEP.3,"Students plan and carry out investigations, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:16:27+00:00
Learning Priority,1.2.3.1,SCI.K.SEP.3.A,Planning and Conducting Investigations,,2023-06-23T02:30:56+00:00
Default,1.2.3.1.1,,"<div>Students plan and carry out simple investigations, based on fair tests, which provide data to support explanations or design solutions. This includes the following:</div><div><br></div><div>With guidance, plan and conduct an investigation in collaboration with peers (for K).</div><div><br></div><div>Plan and conduct an investigation collaboratively to produce data to serve as the basis for evidence to answer a question.</div><div><br></div><div>Evaluate different ways of observing and measuring a phenomenon to determine which way can answer the question being studied.</div><div><br></div><div>Make observations (firsthand or from media) and measurements to collect data that can be used to make comparisons.</div><div><br></div><div>Make observations (firsthand or from media) and measurements of a proposed object or tool or solution to determine if it solves a problem or meets a goal.</div>",,2023-06-23T02:34:11+00:00
Standard,1.2.4,SCI.K.SEP.4,"Students analyze and interpret data, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:16:54+00:00
Learning Priority,1.2.4.1,SCI.K.SEP.4.A,Analyzing and Interpreting Data,,2023-06-26T01:30:16+00:00
Default,1.2.4.1.1,,"<div>Students collect, record, and share observations. This includes the following:</div><div><br></div><div>Record information (observations, thoughts, and ideas).</div><div><br></div><div>Use and share pictures, drawings, or writings of observations.</div><div><br></div><div>Use observations (firsthand or from media) to describe patterns or relationships in the natural and designed worlds in order to answer scientific questions and solve problems.</div><div><br></div><div>Compare predictions (based on prior experiences) to what occurred (observable events).</div><div><br></div><div>Analyze data from tests of an object or tool to determine if the object or tool works as intended.</div>",,2023-06-23T02:38:30+00:00
Standard,1.2.5,SCI.K.SEP.5,"Students use mathematics and computational thinking, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:17:26+00:00
Learning Priority,1.2.5.1,SCI.K.SEP.5.A,Using Mathematics and Computational Thinking,,2023-06-23T02:41:19+00:00
Default,1.2.5.1.1,,"<div>Students recognize that mathematics can be used to describe the natural and designed world. This includes the following:</div><div><br></div><div>Use counting and numbers to identify and describe patterns in the natural and designed worlds.</div><div><br></div><div>Describe, measure, or compare quantitative attributes of different objects and display the data using simple graphs.</div><div><br></div><div>Use qualitative and/or quantitative data to compare two alternative solutions to a problem.</div>",,2023-06-23T03:15:32+00:00
Standard,1.2.6,SCI.K.SEP.6,"Students construct explanations and design solutions, in conjunction with using crosscutting concepts and disciplinary core ideas, to make sense of phenomena and solve problems.",,2023-06-22T20:18:30+00:00
Learning Priority,1.2.6.1,SCI.K.SEP.6.A,Constructing an Explanation,,2023-06-23T03:17:35+00:00
