Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Content Area,1,Inq,Social Studies Inquiry Practices and Processes,KG-12,2023-08-04T00:28:07+00:00
Standard,1.1,SS.Inq1,Wisconsin students will construct meaningful questions that initiate an inquiry.,KG-12,2023-08-04T00:28:07+00:00
Learning Priority,1.1.1,Inq1.a,Develop questions based on a topic,KG-12,2023-08-04T00:28:07+00:00
Grade Band,1.1.1.1,,Elementary School (K-2),KG-02,2023-08-04T00:28:42+00:00
Performance Indicator,1.1.1.1.1,SS.Inq1.a.e,Explain why or how a teacher- or text-provided question is important to a topic or issue.,KG-02,2023-08-04T00:28:42+00:00
Grade Band,1.1.1.2,,Intermediate School (3-5),03-05,2023-08-04T00:30:40+00:00
Performance Indicator,1.1.1.2.1,SS.Inq1.a.i,Develop a list of open- and closed-ended questions on a topic or issue.,03-05,2023-08-04T00:30:40+00:00
Grade Band,1.1.1.3,,Middle School (6-8),06-08,2023-08-04T00:32:52+00:00
Performance Indicator,1.1.1.3.1,SS.Inq1.a.m,Formulate open-ended questions for further research within one of the social studies disciplines.,06-08,2023-08-04T00:32:52+00:00
Grade Band,1.1.1.4,,High School (9-12),09-12,2023-08-04T00:37:24+00:00
Performance Indicator,1.1.1.4.1,SS.Inq1.a.h,"Frame researchable, complex, and open-ended questions, integrating multiple social studies strands that call for investigation.",09-12,2023-08-04T00:37:24+00:00
Learning Priority,1.1.2,Inq1.b,Plan an inquiry,KG-12,2023-08-04T00:28:07+00:00
Grade Band,1.1.2.1,,Elementary School (K-2),KG-02,2023-08-04T00:28:42+00:00
Performance Indicator,1.1.2.1.1,SS.Inq1.b.e,"When provided with a question, determine what other questions are needed to support the research (i.e., “What more do we need to know?”).",KG-02,2023-08-04T00:28:42+00:00
Grade Band,1.1.2.2,,Intermediate School (3-5),03-05,2023-08-04T00:30:40+00:00
Performance Indicator,1.1.2.2.1,SS.Inq1.b.i,Develop a list of questions that support the research through discussion and investigation to guide inquiry.,03-05,2023-08-04T00:30:40+00:00
Grade Band,1.1.2.3,,Middle School (6-8),06-08,2023-08-04T00:32:52+00:00
Performance Indicator,1.1.2.3.1,SS.Inq1.b.m,Identify additional questions that support the research and possible resources to guide the inquiry.,06-08,2023-08-04T00:32:52+00:00
Grade Band,1.1.2.4,,High School (9-12),09-12,2023-08-04T00:37:24+00:00
Performance Indicator,1.1.2.4.1,SS.Inq1.b.h,Construct questions that support the research and identify the sources that will be used in the studentdeveloped research proposal.,09-12,2023-08-04T00:37:24+00:00
Standard,1.2,SS.Inq2,Wisconsin students will gather and evaluate sources,KG-12,2023-08-04T00:28:07+00:00
Learning Priority,1.2.1,Inq2.a,"Gather diverse sources (electronic, digital, print, and other mass media) applicable to the inquiry",KG-12,2023-08-04T00:28:07+00:00
Grade Band,1.2.1.1,,Elementary School (K-2),KG-02,2023-08-04T00:28:42+00:00
Performance Indicator,1.2.1.1.1,SS.Inq2.a.e,Brainstorm what resources would be valuable to guide the inquiry.,KG-02,2023-08-04T00:28:42+00:00
Grade Band,1.2.1.2,,Intermediate School (3-5),03-05,2023-08-04T00:30:40+00:00
Performance Indicator,1.2.1.2.1,SS.Inq2.a.i,Gather a variety of resources into categories to guide the inquiry.,03-05,2023-08-04T00:30:40+00:00
Grade Band,1.2.1.3,,Middle School (6-8),06-08,2023-08-04T00:32:52+00:00
Performance Indicator,1.2.1.3.1,SS.Inq2.a.m,Explore evidence from multiple reliable sources representing a range of perspectives and media that have been selected through research to guide the inquiry.,06-08,2023-08-04T00:32:52+00:00
Grade Band,1.2.1.4,,High School (9-12),09-12,2023-08-04T00:37:24+00:00
Performance Indicator,1.2.1.4.1,SS.Inq2.a.h,"Explore evidence discovered through personal research through a variety of disciplinary lenses (e.g., economics, history, political science) and multiple perspectives (e.g., race, gender, ethnicity, language, ability, sexual orientation, family background, and/or family income) with a variety of sources including primary and secondary sources and media resources.",09-12,2023-08-04T00:37:24+00:00
