Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,TE,Technology and Engineering,,2023-08-31T18:05:14+00:00
Education Level,1.1,TE.e,Elementary Grades,PK-5,2023-08-31T22:39:12+00:00
Content Area,1.1.1,TE.e.BB,Broad-Based,,2023-08-31T18:05:14+00:00
Standard,1.1.1.1,TE.e.BB.1,Students will analyze the core concepts of technology.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.1,TE.e.BB.1.a,Analyze and use technological systems.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.1.1,TE.e.BB.1.a.1,Compare and contrast systems found in nature and others made by humans.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.1.2,TE.e.BB.1.a.2,Identify that systems have parts or components that work together to accomplish a goal.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.2,TE.e.BB.1.b,Analyze and use tools and materials.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.2.1,TE.e.BB.1.b.1,"Explain that tools are used to design, make, use, assess technology and extend human capabilities such as holding, lifting, carrying, fastening, separating and computing.",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.2.2,TE.e.BB.1.b.2,Recognize that materials have many different properties that are leveraged in making things.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.3,TE.e.BB.1.c,Analyze and use mechanisms.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.3.1,TE.e.BB.1.c.1,"Identify the types, functions and applications, of simple mechanical components (e.g. levers, linkages, cranks, cams, gears, pulleys & belts, sprockets & chains).",,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.4,TE.e.BB.1.d,Analyze and use electricity and electronic systems.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.4.1,TE.e.BB.1.d.1,"Describe atomic structure, the components of the atom, their charges and importance to electronics technology",,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.5,TE.e.BB.1.e,"Analyze, explain and use control systems.",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.5.1,TE.e.BB.1.e.1,"Discuss that an open-loop system has no feedback path and requires human intervention, while a closed-loop system uses feedback.",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.5.2,TE.e.BB.1.e.2,Discuss that controls are mechanisms or particular steps that people perform using information about the system that causes systems to change.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.1.1.6,TE.e.BB.1.f,Identify and analyze structures.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.6.1,TE.e.BB.1.f.1,Identify and correlate human made structures that are inspired by structures that occur in nature.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.1.1.6.2,TE.e.BB.1.f.2,"Recognize that materials have properties that inspire their use in structures (e.g. wood, plastic, aluminum, brick, concrete, cast iron, steel).",,2023-08-31T18:05:14+00:00
Content Area,1.1.2,TE.e.AC,Architecture and Construction,,2023-08-31T18:05:14+00:00
Standard,1.1.2.1,TE.e.AC.1,Students will be able to select and use architecture and construction technologies.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.2.1.1,TE.e.AC.1.a,"Analyze construction requirements, materials, structures, techniques and maintenance.",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.1.1,TE.e.AC.1.a.1,"Recognize that people live, work and go to school in buildings, which are of different types: houses, apartments, office buildings and schools.",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.1.2,TE.e.AC.1.a.2,Identify types of temporary and permanent structures.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.1.3,TE.e.AC.1.a.3,Describe how structures need to be maintained.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.1.4,TE.e.AC.1.a.4,Identify multiple systems that are used in buildings.,,2023-08-31T18:05:14+00:00
Learning Priority,1.1.2.1.2,TE.e.AC.1.b,Apply measurement systems in the planning and layout process used in the residential construction industry.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.2.1,TE.e.AC.1.b.1,Recognize and identify the rooms in a home.,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.2.2,TE.e.AC.1.b.2,"Identify and count the parts of simple structures (i., Legos, marshmallow and spaghetti, etc.).",,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.2.3,TE.e.AC.1.b.3,Demonstrate scale and proportion (i. a toy car is a scale model of a full-sized car).,,2023-08-31T18:05:14+00:00
Performance Indicator,1.1.2.1.2.4,TE.e.AC.1.b.4,"Demonstrate use of the Standard Measuring System to the 1/4"" and the Metric Measuring System to centimeters.",,2023-08-31T18:05:14+00:00
