Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,T,Theatre,,2023-11-21T17:05:28+00:00
Grade Level,1.1,T.e,Grades K-2,K-2,2023-11-21T19:42:02+00:00
Content Area,1.1.1,T.e.TP,Theatre Performance,,2023-11-21T17:05:29+00:00
Standard,1.1.1.1,T.e.TP.1,"Students will generate, develop, and refine artistic work.",,2023-11-21T17:05:29+00:00
Artistic Process,1.1.1.1.1,T.e.TP.1.Cr,Create,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.1.1.1,T.e.TP.1.Cr.1,Characterization. Portray feelings of a known or imagined character.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.1.1.2,T.e.TP.1.Cr.2,Improvisation. Play imaginatively within a scenario.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.1.1.3,T.e.TP.1.Cr.3,Text/Script. Tell a story to a teacher or a peer using known or imagined dialogue.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.1.1.4,T.e.TP.1.Cr.4,Direction. Listen to and follow direction given by a teacher or a student leader.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.1.1.5,T.e.TP.1.Cr.5,Collaboration. Contribute ideas and make decisions as a group to advance a story.,,2023-11-21T17:05:29+00:00
Standard,1.1.1.2,T.e.TP.2,"Students will analyze, develop, and convey meaning through the presentation of artistic work.",,2023-11-21T17:05:29+00:00
Artistic Process,1.1.1.2.1,T.e.TP.2.P,Perform,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.2.1.1,T.e.TP.2.P.1,Oral Communication. Use vocalizations and spoken language to communicate.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.2.1.2,T.e.TP.2.P.2,"Nonverbal Communication. Use gestures, movement, and facial expressions to communicate.",,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.2.1.3,T.e.TP.2.P.3,Spatial Awareness. Use objects in an imaginative manner.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.2.1.4,T.e.TP.2.P.4,Public Presentation. Portray a character for a classroom presentation.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.2.1.5,T.e.TP.2.P.5,Protocol. Exercise developmentally appropriate stage etiquette for school or public performances.,,2023-11-21T17:05:29+00:00
Standard,1.1.1.3,T.e.TP.3,Students will critically interpret intent and meaning in order to evaluate artistic work.,,2023-11-21T17:05:29+00:00
Artistic Process,1.1.1.3.1,T.e.TP.3.R,Respond,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.3.1.1,T.e.TP.3.R.1,"Analysis. Respond to a theatrical work by sharing what is seen, heard, and/or felt.",,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.3.1.2,T.e.TP.3.R.2,Reflection. Assess personal participation in a performance.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.3.1.3,T.e.TP.3.R.3,View Performance. Demonstrate developmentally appropriate audience etiquette.,,2023-11-21T17:05:29+00:00
Standard,1.1.1.4,T.e.TP.4,Students will relate prior knowledge and personal experience with theatre to cultural and historical contexts.,,2023-11-21T17:05:29+00:00
Artistic Process,1.1.1.4.1,T.e.TP.4.Cn,Connect,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.4.1.1,T.e.TP.4.Cn.1,Cultural Social Context. Express how theatre relates to self and others.,,2023-11-21T17:05:29+00:00
Performance Indicator,1.1.1.4.1.2,T.e.TP.4.Cn.2,"Research. Identify parts of a story (characters, setting, and plot).",,2023-11-21T17:05:29+00:00
