Item Type,Sequence,Human Code,Full Statement,Ed. Level,Last Modified
Discipline,1,WL,World Languages,,2023-11-15T21:53:54+00:00
Goal Area,1.1,WL.CM,Communication - Students communicate effectively in more than one language in order to function in a variety of situations and for multiple purposes.,,2023-11-16T18:27:04+00:00
Standard,1.1.1,WL.CM.IT1,"Students use the target language and cultural knowledge to interpret, analyze, and demonstrate understanding of authentic speech, texts, media, or signed language on topics relevant to their lives and broader communities.",,2023-11-16T18:29:28+00:00
Learner Practice,1.1.1.1,WL.CM.IT1.a,"Students use the target language and cultural knowledge to interpret, analyze, and demonstrate understanding of authentic speech, texts, media, or signed language on topics relevant to their lives and broader communities.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.1.1,WL.CM.IT1.a.n,Novice,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.1.1,WL.CM.IT1.a.n.1,Identify memorized or familiar words when they are supported by gestures or visuals in informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.1.2,WL.CM.IT1.a.n.2,Identify some basic facts from memorized words and phrases when they are supported by gestures or visuals in informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.1.3,WL.CM.IT1.a.n.3,Identify the topic and some isolated facts from simple sentences in informational texts.,,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.1.2,WL.CM.IT1.a.i,Intermediate,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.2.1,WL.CM.IT1.a.i.4,Identify the topic and related information from simple sentences in short informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.2.2,WL.CM.IT1.a.i.5,Demonstrate understanding of the main idea and key information in short straightforward informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.2.3,WL.CM.IT1.a.i.6,"Follow the main message in various time frames in straightforward, and sometimes descriptive, paragraph length informational texts.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.1.3,WL.CM.IT1.a.a,Advanced,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.3.1,WL.CM.IT1.a.a.7,Identify the underlying message and some supporting details across major time frames in descriptive informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.3.2,WL.CM.IT1.a.a.8,Demonstrate understanding of the underlying message and most supporting details across major time frames in descriptive informational texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.1.3.3,WL.CM.IT1.a.a.9,"Follow the flow of ideas and infer meaning from complex language on unfamiliar, abstract topics within informational texts.",,2023-11-15T21:53:54+00:00
Learner Practice,1.1.1.2,WL.CM.IT1.b,"Students use and improve linguistic and cultural knowledge as they interpret, analyze, and demonstrate understanding of authentic fictional texts from diverse communities and contexts.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.2.1,WL.CM.IT1.b.n,Novice,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.1.1,WL.CM.IT1.b.n.1,Identify memorized or familiar words when they are supported by gestures or visuals in fictional texts.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.1.2,WL.CM.IT1.b.n.2,"Identify some basic facts from memorized words, and phrases when they are supported by gestures or visuals in fictional texts.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.1.3,WL.CM.IT1.b.n.3,"Identify the topic, and some isolated elements from simple sentences in short fictional texts.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.2.2,WL.CM.IT1.b.i,Intermediate,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.2.1,WL.CM.IT1.b.i.4,"Identify the topic, and related information from simple sentences in short fictional texts.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.2.2,WL.CM.IT1.b.i.5,"Demonstrate understanding of the main idea, and key information in short straightforward fictional texts.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.2.3,WL.CM.IT1.b.i.6,"Follow the main story, and actions expressed in various time frames in paragraph-length fictional texts.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.2.3,WL.CM.IT1.b.a,Advanced,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.3.1,WL.CM.IT1.b.a.7,"Follow the main story, and some supporting detail across major time frames in fictional texts.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.3.2,WL.CM.IT1.b.a.8,"Follow the main story, and most supporting details across major time frames in fictional texts.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.2.3.3,WL.CM.IT1.b.a.9,"Follow the flow of ideas, and some nuances from different viewpoints in most fictional texts.",,2023-11-15T21:53:54+00:00
Learner Practice,1.1.1.3,WL.CM.IT1.c,"Students use and improve linguistic and cultural knowledge as they interpret, analyze, and demonstrate understanding of authentic conversations and discussions from diverse communities and contexts.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.3.1,WL.CM.IT1.c.n,Novice,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.1.1,WL.CM.IT1.c.n.1,"Demonstrate understanding of memorized, or familiar words when they are supported by gestures or visuals in conversations.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.1.2,WL.CM.IT1.c.n.2,"Identify some basic facts from memorized words, and phrases when they are supported by gestures or visuals in conversations.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.1.3,WL.CM.IT1.c.n.3,"Demonstrate understanding of familiar questions, and statements from simple sentences in conversations.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.3.2,WL.CM.IT1.c.i,Intermediate,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.2.1,WL.CM.IT1.c.i.4,Identify the main idea in short conversations.,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.2.2,WL.CM.IT1.c.i.5,"Identify the main idea, and key information in short straightforward conversations.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.2.3,WL.CM.IT1.c.i.6,"Demonstrate understanding of the main idea, and flow of events expressed in various time frames in conversations and discussions.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.1.3.3,WL.CM.IT1.c.a,Advanced,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.3.1,WL.CM.IT1.c.a.7,"Demonstrate understanding of the main message, and some supporting details across major time frames in conversations and discussions.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.3.2,WL.CM.IT1.c.a.8,"Demonstrate understanding of the main message, and most supporting details across major time frames in conversations and discussions.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.1.3.3.3,WL.CM.IT1.c.a.9,"Follow the flow of ideas, and some nuances from different viewpoints in conversations and discussions.",,2023-11-15T21:53:54+00:00
Standard,1.1.2,WL.CM.IP2,"Students use the target language and cultural knowledge to negotiate meaning through the exchange of information, ideas, reactions, feelings, and opinions in spoken, written, or signed interactions relevant to their lives and broader communities.",,2023-11-16T15:20:47+00:00
Learner Practice,1.1.2.1,WL.CM.IP2.a,"Students exchange information, and ideas about relevant issues and diverse topics in linguistically and culturally responsive interactions.",,2023-11-15T21:53:54+00:00
Proficiency Level,1.1.2.1.1,WL.CM.IP2.a.n,Novice,,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.2.1.1.1,WL.CM.IP2.a.n.1,"Provide information by answering a few simple questions on very familiar topics, using practiced or memorized words and phrases, with the help of gestures or visuals.",,2023-11-15T21:53:54+00:00
Performance Indicator,1.1.2.1.1.2,WL.CM.IP2.a.n.2,"Request, and provide information by asking and answering a few simple questions on very familiar and everyday topics, using a mixture of practiced or memorized words, phrases, and simple sentences.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.1.3,WL.CM.IP2.a.n.3,"Request, and provide information by asking and answering practiced and some original questions on familiar and everyday topics, using simple sentences most of the time.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.1.2,WL.CM.IP2.a.i,Intermediate,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.2.1,WL.CM.IP2.a.i.4,"Request, and provide information in conversations on familiar topics by creating simple sentences and asking appropriate follow-up questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.2.2,WL.CM.IP2.a.i.5,"Exchange information in conversations on familiar topics and some researched topics, creating sentences and series of sentences and asking a variety of follow-up questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.2.3,WL.CM.IP2.a.i.6,"Exchange information in conversations, and some discussions on a variety of familiar and some concrete topics that have been researched, using connected sentences that may combine to form paragraphs and asking a variety of questions, often across various time frames.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.1.3,WL.CM.IP2.a.a,Advanced,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.3.1,WL.CM.IP2.a.a.7,"Exchange information, and ideas in discussions on a variety of familiar and concrete academic and social topics, using a few simple paragraphs across major time frames.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.3.2,WL.CM.IP2.a.a.8,"Conduct, and sustain discussions on a wide variety of familiar and unfamiliar concrete topics of personal and general interest, and sometimes academic, social or professional topics, by using probing questions and providing detailed responses across major time frames.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.1.3.3,WL.CM.IP2.a.a.9,"Discuss, and sometimes debate, a variety of complex concrete and some abstract academic, social and professional topics and often deal with related issues hypothetically, using precise questions and explanations.",,2023-11-15T21:53:55+00:00
Learner Practice,1.1.2.2,WL.CM.IP2.b,Students meet their needs or address situations related to relevant issues and diverse topics in linguistically and culturally responsive interactions.,,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.2.1,WL.CM.IP2.b.n,Novice,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.1.1,WL.CM.IP2.b.n.1,"Express some basic needs, using practiced or memorized words and phrases, with the help of gestures or visuals.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.1.2,WL.CM.IP2.b.n.2,"Express basic needs related to familiar and everyday activities, using a mixture of practiced or memorized words, phrases, and questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.1.3,WL.CM.IP2.b.n.3,"Interact with others to meet basic needs related to routine everyday activities, using simple sentences and questions most of the time.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.2.2,WL.CM.IP2.b.i,Intermediate,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.2.1,WL.CM.IP2.b.i.4,Interact with others to meet basic needs in familiar situations by creating simple sentences and asking appropriate follow-up questions.,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.2.2,WL.CM.IP2.b.i.5,"Interact with others to meet basic needs in a variety of familiar situations, creating sentences and series of sentences and asking a variety of follow up questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.2.3,WL.CM.IP2.b.i.6,"Interact with others to meet individual needs in a variety of situations, sometimes involving a complication, using connected sentences that may combine to form paragraphs and asking a variety of questions, often across various time frames.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.2.3,WL.CM.IP2.b.a,Intermediate,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.3.1,WL.CM.IP2.b.a.7,"Interact, and negotiate to resolve an unexpected complication that arises in a familiar situation, using a few simple paragraphs across major time frames.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.3.2,WL.CM.IP2.b.a.8,"Interact, and negotiate to resolve an unexpected complication that arises in a familiar situation, providing detailed explanations and offering a variety of resolutions across major time frames.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.2.3.3,WL.CM.IP2.b.a.9,"Interact, and negotiate to resolve an unexpected complication in a situation that is generally unfamiliar.",,2023-11-15T21:53:55+00:00
Learner Practice,1.1.2.3,WL.CM.IP2.c,"Students express, react to, and support ideas, preferences, and opinions about relevant issues and diverse topics in linguistically and culturally responsive interactions.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.3.1,WL.CM.IP2.c.n,Novice,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.1.1,WL.CM.IP2.c.n.1,"Express basic preferences or feelings, using practiced or memorized words and phrases, with the help of gestures or visuals.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.1.2,WL.CM.IP2.c.n.2,"Express one’s own preferences or feelings and react to those of others, using a mixture of practiced or memorized words, phrases, and questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.1.3,WL.CM.IP2.c.n.3,"Express, ask about, and react to preferences, feelings, or opinions on familiar topics, using simple sentences most of the time and asking questions to keep the conversation on topic.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.3.2,WL.CM.IP2.c.i,Intermediate,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.2.1,WL.CM.IP2.c.i.4,"Express, ask about, and react with some details to preferences, feelings, or opinions on familiar topics, by creating simple sentences and asking appropriate follow-up questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.2.2,WL.CM.IP2.c.i.5,"Exchange preferences, feelings, or opinions and provide basic advice on a variety of familiar topics, creating sentences and series of sentences and asking a variety of follow-up questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.2.3,WL.CM.IP2.c.i.6,"Explain preferences, opinions, and emotions, and provide advice on a variety of familiar and some concrete topics that have been researched, using connected sentences in discourse that may combine to form paragraphs and asking a variety of questions, often across various time frames.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.2.3.3,WL.CM.IP2.c.a,Advanced,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.3.1,WL.CM.IP2.c.a.7,"Conduct, and sustain conversations by providing explanations and comparisons of preferences, opinions, and advice on familiar and concrete academic and social topics using a few simple paragraphs across major time frames.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.3.2,WL.CM.IP2.c.a.8,"Conduct, and sustain extended conversations by supporting, reacting to, and comparing preferences and opinions and expressing advice and emotions in detail across major time frames, and by asking probing questions.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.2.3.3.3,WL.CM.IP2.c.a.9,"Discuss, support, and sometimes debate, opinions and advice on a variety of complex concrete topics, often addressing hypothetical or abstract issues, and asking precise questions.",,2023-11-15T21:53:55+00:00
Standard,1.1.3,WL.CM.PS3,"Students use the target language, and cultural knowledge to present information, concepts, and ideas on topics of relevance to their lives and broader communities to inform, explain, persuade, and narrate for diverse audiences within and beyond the learning environment.",,2023-11-16T15:26:35+00:00
Learner Practice,1.1.3.1,WL.CM.PS3.a,"Students present information, and ideas in linguistically and culturally responsive ways to describe their lives, experiences, and events.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.3.1.1,WL.CM.PS3.a.n,Novice,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.1.1,WL.CM.PS3.a.n.1,"Introduce self using practiced, or memorized words and phrases, with the help of gestures or visuals.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.1.2,WL.CM.PS3.a.n.2,"Present information about interests and activities using a mixture of practiced or memorized words, phrases and simple sentences.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.1.3,WL.CM.PS3.a.n.3,"Present personal information about life and activities, using simple sentences most of the time.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.3.1.2,WL.CM.PS3.a.i,Intermediate,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.2.1,WL.CM.PS3.a.i.4,"Present personal information about life, activities and events, using simple sentences.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.2.2,WL.CM.PS3.a.i.5,"Tell a story about life, activities, events and other social experiences, using sentences and series of connected sentences.",,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.2.3,WL.CM.PS3.a.i.6,"Tell stories about school and community events and personal experiences, using a few short paragraphs, often across various time frames.",,2023-11-15T21:53:55+00:00
Proficiency Level,1.1.3.1.3,WL.CM.PS3.a.a,Advanced,,2023-11-15T21:53:55+00:00
Performance Indicator,1.1.3.1.3.1,WL.CM.PS3.a.7,"Tell stories about school and community events, and personal experiences, using paragraphs across major time frames.",,2023-11-15T21:53:55+00:00
